hotel_name,tripadvisor_url
AVA Resort Cancun,https://www.tripadvisor.com/Hotel_Review-g150807-d27671171-Reviews-AVA_Resort_Cancun-Cancun_Yucatan_Peninsula.html
Adults Only Club at Lopesan Costa Bavaro,https://www.tripadvisor.com/Hotel_Review-g3176298-d25269002-Reviews-Adults_Only_Club_At_Lopesan_Costa_Bavaro_Resort-Bavaro_Punta_Cana_La_Altagracia_Prov.html
Akumal Bay Beach and Spa Resort,https://www.tripadvisor.com/Hotel_Review-g499445-d249916-Reviews-Akumal_Bay_Beach_Wellness_Resort-Akumal_Tulum_Yucatan_Peninsula.html
All Ritmo Cancun Resort and Waterpark,https://www.tripadvisor.com/Hotel_Review-g150807-d154427-Reviews-All_Ritmo_Cancun_Resort_Waterpark-Cancun_Yucatan_Peninsula.html
Allegro Cozumel,https://www.tripadvisor.com/Hotel_Review-g150809-d1191402-Reviews-Allegro_Cozumel-Cozumel_Yucatan_Peninsula.html
Allegro Playacar,https://www.tripadvisor.com/Hotel_Review-g150812-d153965-Reviews-Allegro_Playacar-Playa_del_Carmen_Yucatan_Peninsula.html
Armony Marival Resort and Spa - MGallery,https://www.tripadvisor.com/Hotel_Review-g27998961-d17464564-Reviews-Armony_Marival_Resort_Spa_Punta_de_Mita_MGallery_Collection-Punta_del_Burro_Bahia_d.html?
Atelier Playa Mujeres,https://www.tripadvisor.com/Hotel_Review-g1229340-d15144755-Reviews-Atelier_Playa_Mujeres-Playa_Mujeres_Costa_Mujeres_Yucatan_Peninsula.html
Azul Beach Resort Negril,https://www.tripadvisor.com/Hotel_Review-g147313-d5039969-Reviews-Azul_Beach_Resort_Negril_by_Karisma-Negril_Westmoreland_Parish_Jamaica.html
Azura Beach Resort Samara,https://www.tripadvisor.com/Hotel_Review-g196677-d34218339-Reviews-Surplage_Hotel_Cavaliere-Le_Lavandou_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d.html
